"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs_aumento_2a";"delitos_mcs_aumento_3a";"delitos_mcs_aumento_5a";"delitos_mcs_aumento_10a"
"214";10108;"Maullín";10;"Los Lagos";1,44444444444444;1,57046979865772;1,31460674157303;1,70802919708029
"215";10109;"Puerto Varas";10;"Los Lagos";1,28137931034483;1,33094555873925;1,00978260869565;1,04264870931538
"216";10201;"Castro";10;"Los Lagos";1,4009840098401;1,47157622739018;1,19517313746065;0,807801418439716
"217";10202;"Ancud";10;"Los Lagos";1,0064308681672;1,10211267605634;0,993650793650794;0,639427987742594
"218";10203;"Chonchi";10;"Los Lagos";1,4873417721519;1,52597402597403;1,46875;1,14634146341463
"219";10204;"Curaco de Vélez";10;"Los Lagos";1,21428571428571;1,47826086956522;1,54545454545455;0,918918918918919
"220";10205;"Dalcahue";10;"Los Lagos";1,76691729323308;1,66666666666667;1,66666666666667;1,175
"221";10206;"Puqueldón";10;"Los Lagos";1,28571428571429;1,125;1,35;0,529411764705882
"222";10207;"Queilén";10;"Los Lagos";1,30357142857143;1,23728813559322;1,25862068965517;1,48979591836735
"223";10208;"Quellón";10;"Los Lagos";1,01622718052738;1,02453987730061;1,01008064516129;0,824013157894737
"224";10209;"Quemchi";10;"Los Lagos";1,46296296296296;1,71739130434783;1,88095238095238;0,887640449438202
"225";10210;"Quinchao";10;"Los Lagos";1,17073170731707;1,45454545454545;1,52380952380952;1,06666666666667
"226";10301;"Osorno";10;"Los Lagos";1,47178048019956;1,81398923904689;1,32696092212539;1,11981020166074
"227";10302;"Puerto Octay";10;"Los Lagos";1,22857142857143;1,0078125;1,13157894736842;1,35789473684211
"228";10303;"Purranque";10;"Los Lagos";1,1985559566787;1,26717557251908;1,06410256410256;0,988095238095238
"229";10304;"Puyehue";10;"Los Lagos";1,45806451612903;1,61428571428571;1,11330049261084;1,49668874172185
"230";10305;"Río Negro";10;"Los Lagos";1,20942408376963;1,32758620689655;1,2554347826087;1,17258883248731
"231";10306;"San Juan de la Costa";10;"Los Lagos";1,30434782608696;1,23287671232877;1,37404580152672;1,25
"232";10307;"San Pablo";10;"Los Lagos";1,54098360655738;1,39259259259259;1,22077922077922;1,30555555555556
"233";10401;"Chaitén";10;"Los Lagos";1,53846153846154;1,66666666666667;1,17647058823529;0,983606557377049
"234";10402;"Futaleufú";10;"Los Lagos";1,42857142857143;2,35294117647059;1,73913043478261;1,11111111111111
"235";10403;"Hualaihué";10;"Los Lagos";1,07594936708861;1,30769230769231;1,37096774193548;1,15646258503401
"236";10404;"Palena";10;"Los Lagos";1,38461538461538;1,38461538461538;1,38461538461538;0,620689655172414
"237";11101;"Coihaique";11;"Aysén del General Carlos Ibáñez del Campo";1,11221945137157;1;0,780402449693788;0,46652719665272
"238";11102;"Lago Verde";11;"Aysén del General Carlos Ibáñez del Campo";1;0,705882352941177;2;1,71428571428571
"239";11201;"Aisén";11;"Aysén del General Carlos Ibáñez del Campo";1,13636363636364;1,26262626262626;1,22850122850123;1,20192307692308
"240";11202;"Cisnes";11;"Aysén del General Carlos Ibáñez del Campo";1,02597402597403;1,16176470588235;0,9875;1,06756756756757
"241";11203;"Guaitecas";11;"Aysén del General Carlos Ibáñez del Campo";2,17647058823529;1,94736842105263;1,19354838709677;1,54166666666667
"242";11301;"Cochrane";11;"Aysén del General Carlos Ibáñez del Campo";0,895522388059702;1,27659574468085;1,81818181818182;1,53846153846154
"243";11302;"O'Higgins";11;"Aysén del General Carlos Ibáñez del Campo";1,5;1,5;2,4;1,09090909090909
