"";"comuna";"cut_comuna";"region";"cut_region";"año";"pais";"n";"residencia";"estado"
"214";"Casablanca";5102;"Valparaíso";5;2023;"Bolivia";2;"Temporal";"Otorgadas"
"215";"Casablanca";5102;"Valparaíso";5;2023;"Brasil";1;"Temporal";"Otorgadas"
"216";"Casablanca";5102;"Valparaíso";5;2023;"Colombia";13;"Temporal";"Otorgadas"
"217";"Casablanca";5102;"Valparaíso";5;2023;"Haití";7;"Temporal";"Otorgadas"
"218";"Casablanca";5102;"Valparaíso";5;2023;"México";1;"Temporal";"Otorgadas"
"219";"Casablanca";5102;"Valparaíso";5;2023;"Perú";1;"Temporal";"Otorgadas"
"220";"Casablanca";5102;"Valparaíso";5;2023;"Uruguay";1;"Temporal";"Otorgadas"
"221";"Casablanca";5102;"Valparaíso";5;2023;"Venezuela";44;"Temporal";"Otorgadas"
"222";"Castro";10201;"Los Lagos";10;2023;"Argentina";1;"Temporal";"Otorgadas"
"223";"Castro";10201;"Los Lagos";10;2023;"Bolivia";1;"Temporal";"Otorgadas"
"224";"Castro";10201;"Los Lagos";10;2023;"Brasil";1;"Temporal";"Otorgadas"
"225";"Castro";10201;"Los Lagos";10;2023;"Colombia";42;"Temporal";"Otorgadas"
"226";"Castro";10201;"Los Lagos";10;2023;"Cuba";2;"Temporal";"Otorgadas"
"227";"Castro";10201;"Los Lagos";10;2023;"Ecuador";17;"Temporal";"Otorgadas"
"228";"Castro";10201;"Los Lagos";10;2023;"Líbano";1;"Temporal";"Otorgadas"
"229";"Castro";10201;"Los Lagos";10;2023;"Otro país";1;"Temporal";"Otorgadas"
"230";"Castro";10201;"Los Lagos";10;2023;"Perú";8;"Temporal";"Otorgadas"
"231";"Castro";10201;"Los Lagos";10;2023;"Venezuela";45;"Temporal";"Otorgadas"
"232";"Catemu";5702;"Valparaíso";5;2023;"Bolivia";5;"Temporal";"Otorgadas"
"233";"Catemu";5702;"Valparaíso";5;2023;"Colombia";7;"Temporal";"Otorgadas"
"234";"Catemu";5702;"Valparaíso";5;2023;"Ecuador";1;"Temporal";"Otorgadas"
"235";"Catemu";5702;"Valparaíso";5;2023;"Haití";4;"Temporal";"Otorgadas"
"236";"Catemu";5702;"Valparaíso";5;2023;"Venezuela";2;"Temporal";"Otorgadas"
"237";"Cauquenes";7201;"Maule";7;2023;"Bolivia";1;"Temporal";"Otorgadas"
"238";"Cauquenes";7201;"Maule";7;2023;"Colombia";6;"Temporal";"Otorgadas"
"239";"Cauquenes";7201;"Maule";7;2023;"Ecuador";4;"Temporal";"Otorgadas"
"240";"Cauquenes";7201;"Maule";7;2023;"Haití";2;"Temporal";"Otorgadas"
"241";"Cauquenes";7201;"Maule";7;2023;"Perú";4;"Temporal";"Otorgadas"
"242";"Cauquenes";7201;"Maule";7;2023;"Venezuela";2;"Temporal";"Otorgadas"
"243";"Cañete";8203;"Biobío";8;2023;"Colombia";1;"Temporal";"Otorgadas"
"244";"Cañete";8203;"Biobío";8;2023;"Ecuador";2;"Temporal";"Otorgadas"
"245";"Cañete";8203;"Biobío";8;2023;"Perú";2;"Temporal";"Otorgadas"
"246";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Bolivia";7;"Temporal";"Otorgadas"
"247";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Brasil";1;"Temporal";"Otorgadas"
"248";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Colombia";104;"Temporal";"Otorgadas"
"249";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Cuba";1;"Temporal";"Otorgadas"
"250";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Ecuador";20;"Temporal";"Otorgadas"
"251";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Haití";45;"Temporal";"Otorgadas"
"252";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Otro país";1;"Temporal";"Otorgadas"
"253";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Paraguay";1;"Temporal";"Otorgadas"
"254";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Perú";67;"Temporal";"Otorgadas"
"255";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"República Dominicana";4;"Temporal";"Otorgadas"
"256";"Cerrillos";13102;"Metropolitana de Santiago";13;2023;"Venezuela";62;"Temporal";"Otorgadas"
