cut_comuna;comuna;cut_region;region;opciones;votos
5101;Valparaíso;5;Valparaíso;VOTOS NULOS;4235
5109;Viña del Mar;5;Valparaíso;APRUEBO;105823
5109;Viña del Mar;5;Valparaíso;RECHAZO;141864
5109;Viña del Mar;5;Valparaíso;VOTOS EN BLANCO;1643
5109;Viña del Mar;5;Valparaíso;VOTOS NULOS;4186
6102;Codegua;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;3584
6102;Codegua;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;7122
6102;Codegua;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;82
6102;Codegua;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;185
6103;Coinco;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2179
6103;Coinco;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;4447
6103;Coinco;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;63
6103;Coinco;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;122
6104;Coltauco;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;4674
6104;Coltauco;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;10605
6104;Coltauco;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;120
6104;Coltauco;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;232
6105;Doñihue;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;6179
6105;Doñihue;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;10869
6105;Doñihue;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;107
6105;Doñihue;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;295
6106;Graneros;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;9559
6106;Graneros;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;15194
6106;Graneros;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;162
6106;Graneros;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;336
6108;Machalí;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;13167
6108;Machalí;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;22659
