"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"477";"HAITÍ";"2022";2918;13104;"Conchalí";13;"Metropolitana de Santiago"
"478";"HAITÍ";"2022";10421;13106;"Estación Central";13;"Metropolitana de Santiago"
"479";"HAITÍ";"2022";3074;13108;"Independencia";13;"Metropolitana de Santiago"
"480";"HAITÍ";"2022";1897;13109;"La Cisterna";13;"Metropolitana de Santiago"
"481";"HAITÍ";"2022";2098;13110;"La Florida";13;"Metropolitana de Santiago"
"482";"HAITÍ";"2022";140;13114;"Las Condes";13;"Metropolitana de Santiago"
"483";"HAITÍ";"2022";137;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"484";"HAITÍ";"2022";1642;13117;"Lo Prado";13;"Metropolitana de Santiago"
"485";"HAITÍ";"2022";564;13118;"Macul";13;"Metropolitana de Santiago"
"486";"HAITÍ";"2022";3081;13119;"Maipú";13;"Metropolitana de Santiago"
"487";"HAITÍ";"2022";4399;13501;"Melipilla";13;"Metropolitana de Santiago"
"488";"HAITÍ";"2022";1141;13122;"Peñalolén";13;"Metropolitana de Santiago"
"489";"HAITÍ";"2022";94;13123;"Providencia";13;"Metropolitana de Santiago"
"490";"HAITÍ";"2022";1780;13124;"Pudahuel";13;"Metropolitana de Santiago"
"491";"HAITÍ";"2022";1718;13201;"Puente Alto";13;"Metropolitana de Santiago"
"492";"HAITÍ";"2022";14667;13125;"Quilicura";13;"Metropolitana de Santiago"
"493";"HAITÍ";"2022";2522;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"494";"HAITÍ";"2022";4482;13127;"Recoleta";13;"Metropolitana de Santiago"
"495";"HAITÍ";"2022";7756;13401;"San Bernardo";13;"Metropolitana de Santiago"
"496";"HAITÍ";"2022";1343;13129;"San Joaquín";13;"Metropolitana de Santiago"
"497";"HAITÍ";"2022";1030;13130;"San Miguel";13;"Metropolitana de Santiago"
"498";"HAITÍ";"2022";7328;13101;"Santiago";13;"Metropolitana de Santiago"
"499";"HAITÍ";"2022";31;13132;"Vitacura";13;"Metropolitana de Santiago"
"500";"HAITÍ";"2022";161;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"501";"HAITÍ";"2022";85;1107;"Alto Hospicio";1;"Tarapacá"
"502";"HAITÍ";"2022";270;1101;"Iquique";1;"Tarapacá"
"503";"HAITÍ";"2022";1275;5101;"Valparaíso";5;"Valparaíso"
"504";"HAITÍ";"2022";920;5109;"Viña del Mar";5;"Valparaíso"
"505";"ITALIA";"2022";36;2101;"Antofagasta";2;"Antofagasta"
"506";"ITALIA";"2022";22;2201;"Calama";2;"Antofagasta"
"507";"ITALIA";"2022";36;15101;"Arica";15;"Arica y Parinacota"
"508";"ITALIA";"2022";35;3101;"Copiapó";3;"Atacama"
"509";"ITALIA";"2022";68;8101;"Concepción";8;"Biobío"
"510";"ITALIA";"2022";59;4102;"Coquimbo";4;"Coquimbo"
"511";"ITALIA";"2022";136;4101;"La Serena";4;"Coquimbo"
"512";"ITALIA";"2022";20;9101;"Temuco";9;"La Araucanía"
"513";"ITALIA";"2022";33;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"514";"ITALIA";"2022";15;10101;"Puerto Montt";10;"Los Lagos"
"515";"ITALIA";"2022";44;7301;"Curicó";7;"Maule"
"516";"ITALIA";"2022";50;7101;"Talca";7;"Maule"
"517";"ITALIA";"2022";5;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"518";"ITALIA";"2022";62;13301;"Colina";13;"Metropolitana de Santiago"
"519";"ITALIA";"2022";13;13104;"Conchalí";13;"Metropolitana de Santiago"
"520";"ITALIA";"2022";37;13106;"Estación Central";13;"Metropolitana de Santiago"
"521";"ITALIA";"2022";28;13108;"Independencia";13;"Metropolitana de Santiago"
"522";"ITALIA";"2022";45;13109;"La Cisterna";13;"Metropolitana de Santiago"
"523";"ITALIA";"2022";93;13110;"La Florida";13;"Metropolitana de Santiago"
"524";"ITALIA";"2022";771;13114;"Las Condes";13;"Metropolitana de Santiago"
"525";"ITALIA";"2022";122;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"526";"ITALIA";"2022";10;13117;"Lo Prado";13;"Metropolitana de Santiago"
"527";"ITALIA";"2022";46;13118;"Macul";13;"Metropolitana de Santiago"
"528";"ITALIA";"2022";71;13119;"Maipú";13;"Metropolitana de Santiago"
"529";"ITALIA";"2022";9;13501;"Melipilla";13;"Metropolitana de Santiago"
"530";"ITALIA";"2022";59;13122;"Peñalolén";13;"Metropolitana de Santiago"
"531";"ITALIA";"2022";373;13123;"Providencia";13;"Metropolitana de Santiago"
