"";"cut_comuna";"comuna";"cut_region";"region";"delitos";"delitos_mcs";"delitoc_mcs_p"
"314";14106;"Mariquina";14;"Los Ríos";1573;519;3,03082851637765
"315";14107;"Paillaco";14;"Los Ríos";1024;352;2,90909090909091
"316";14108;"Panguipulli";14;"Los Ríos";1765;654;2,69877675840979
"317";14201;"La Unión";14;"Los Ríos";2370;709;3,34273624823695
"318";14202;"Futrono";14;"Los Ríos";985;227;4,33920704845815
"319";14203;"Lago Ranco";14;"Los Ríos";643;151;4,25827814569536
"320";14204;"Río Bueno";14;"Los Ríos";1445;473;3,05496828752643
"321";15101;"Arica";15;"Arica y Parinacota";16360;8124;2,0137863121615
"322";15102;"Camarones";15;"Arica y Parinacota";60;15;4
"323";15201;"Putre";15;"Arica y Parinacota";148;38;3,89473684210526
"324";15202;"General Lagos";15;"Arica y Parinacota";15;4;3,75
"325";16101;"Chillán";16;"Ñuble";11365;4847;2,34474932948215
"326";16102;"Bulnes";16;"Ñuble";1229;368;3,33967391304348
"327";16103;"Chillán Viejo";16;"Ñuble";1652;587;2,81431005110733
"328";16104;"El Carmen";16;"Ñuble";499;174;2,86781609195402
"329";16105;"Pemuco";16;"Ñuble";437;143;3,05594405594406
"330";16106;"Pinto";16;"Ñuble";549;145;3,78620689655172
"331";16107;"Quillón";16;"Ñuble";1007;389;2,58868894601542
"332";16108;"San Ignacio";16;"Ñuble";622;243;2,559670781893
"333";16109;"Yungay";16;"Ñuble";832;305;2,72786885245902
"334";16201;"Quirihue";16;"Ñuble";547;169;3,23668639053254
"335";16202;"Cobquecura";16;"Ñuble";313;53;5,90566037735849
"336";16203;"Coelemu";16;"Ñuble";595;226;2,63274336283186
"337";16204;"Ninhue";16;"Ñuble";208;79;2,63291139240506
"338";16205;"Portezuelo";16;"Ñuble";161;53;3,0377358490566
"339";16206;"Ranquil";16;"Ñuble";346;116;2,98275862068966
"340";16207;"Treguaco";16;"Ñuble";268;87;3,08045977011494
"341";16301;"San Carlos";16;"Ñuble";2636;1052;2,50570342205323
"342";16302;"Coihueco";16;"Ñuble";1345;363;3,70523415977961
"343";16303;"Ñiquén";16;"Ñuble";437;132;3,31060606060606
"344";16304;"San Fabián";16;"Ñuble";268;96;2,79166666666667
"345";16305;"San Nicolás";16;"Ñuble";560;178;3,14606741573034
